 x_1         f_x1     grad_x1       x_1_step   
4.58825e-01  1.37648e+00  3.00000e+00  1.02171e-04  
4.58578e-01  -4.58578e-01  -1.00000e+00  2.47801e-04  
4.58406e-01  -4.58406e-01  -1.00000e+00  1.71268e-04  
4.58304e-01  1.37491e+00  3.00000e+00  1.02171e-04  
4.58056e-01  -4.58056e-01  -1.00000e+00  2.47811e-04  
4.57885e-01  -4.57885e-01  -1.00000e+00  1.71271e-04  
4.57783e-01  1.37335e+00  3.00000e+00  1.02171e-04  
4.57535e-01  -4.57535e-01  -1.00000e+00  2.47821e-04  
4.57364e-01  -4.57364e-01  -1.00000e+00  1.71275e-04  
4.57262e-01  1.37179e+00  3.00000e+00  1.02171e-04  
4.57014e-01  -4.57014e-01  -1.00000e+00  2.47831e-04  
4.56843e-01  -4.56843e-01  -1.00000e+00  1.71278e-04  
4.56740e-01  1.37022e+00  3.00000e+00  1.02171e-04  
4.56493e-01  -4.56493e-01  -1.00000e+00  2.47840e-04  
4.56321e-01  -4.56321e-01  -1.00000e+00  1.71281e-04  
4.56219e-01  1.36866e+00  3.00000e+00  1.02171e-04  
4.55971e-01  -4.55971e-01  -1.00000e+00  2.47849e-04  
4.55800e-01  -4.55800e-01  -1.00000e+00  1.71284e-04  
4.55698e-01  1.36709e+00  3.00000e+00  1.02171e-04  
4.55450e-01  -4.55450e-01  -1.00000e+00  2.47858e-04  
4.55279e-01  -4.55279e-01  -1.00000e+00  1.71287e-04  
4.55176e-01  1.36553e+00  3.00000e+00  1.02171e-04  
4.54929e-01  -4.54929e-01  -1.00000e+00  2.47867e-04  
4.54757e-01  -4.54757e-01  -1.00000e+00  1.71290e-04  
4.54655e-01  1.36397e+00  3.00000e+00  1.02171e-04  
4.54407e-01  -4.54407e-01  -1.00000e+00  2.47875e-04  
4.54236e-01  -4.54236e-01  -1.00000e+00  1.71293e-04  
4.54134e-01  1.36240e+00  3.00000e+00  1.02171e-04  
4.53886e-01  -4.53886e-01  -1.00000e+00  2.47884e-04  
4.53715e-01  -4.53715e-01  -1.00000e+00  1.71296e-04  
4.53612e-01  1.36084e+00  3.00000e+00  1.02171e-04  
4.53365e-01  -4.53365e-01  -1.00000e+00  2.47892e-04  
4.53193e-01  -4.53193e-01  -1.00000e+00  1.71299e-04  
4.53091e-01  1.35927e+00  3.00000e+00  1.02171e-04  
4.52843e-01  -4.52843e-01  -1.00000e+00  2.47899e-04  
4.52672e-01  -4.52672e-01  -1.00000e+00  1.71301e-04  
4.52570e-01  1.35771e+00  3.00000e+00  1.02171e-04  
4.52322e-01  -4.52322e-01  -1.00000e+00  2.47907e-04  
4.52151e-01  -4.52151e-01  -1.00000e+00  1.71304e-04  
4.52048e-01  1.35615e+00  3.00000e+00  1.02171e-04  
4.51800e-01  -4.51800e-01  -1.00000e+00  2.47915e-04  
4.51629e-01  -4.51629e-01  -1.00000e+00  1.71307e-04  
4.51527e-01  1.35458e+00  3.00000e+00  1.02171e-04  
4.51279e-01  -4.51279e-01  -1.00000e+00  2.47922e-04  
4.51108e-01  -4.51108e-01  -1.00000e+00  1.71309e-04  
4.51006e-01  1.35302e+00  3.00000e+00  1.02171e-04  
4.50758e-01  -4.50758e-01  -1.00000e+00  2.47929e-04  
4.50586e-01  -4.50586e-01  -1.00000e+00  1.71312e-04  
4.50484e-01  1.35145e+00  3.00000e+00  1.02171e-04  
4.50236e-01  -4.50236e-01  -1.00000e+00  2.47936e-04  
4.50065e-01  -4.50065e-01  -1.00000e+00  1.71314e-04  
4.49963e-01  1.34989e+00  3.00000e+00  1.02171e-04  
4.49715e-01  -4.49715e-01  -1.00000e+00  2.47943e-04  
4.49543e-01  -4.49543e-01  -1.00000e+00  1.71316e-04  
4.49441e-01  1.34832e+00  3.00000e+00  1.02171e-04  
4.49193e-01  -4.49193e-01  -1.00000e+00  2.47950e-04  
4.49022e-01  -4.49022e-01  -1.00000e+00  1.71319e-04  
4.48920e-01  1.34676e+00  3.00000e+00  1.02171e-04  
4.48672e-01  -4.48672e-01  -1.00000e+00  2.47957e-04  
4.48501e-01  -4.48501e-01  -1.00000e+00  1.71321e-04  
4.48398e-01  1.34520e+00  3.00000e+00  1.02171e-04  
4.48150e-01  -4.48150e-01  -1.00000e+00  2.47963e-04  
4.47979e-01  -4.47979e-01  -1.00000e+00  1.71323e-04  
4.47877e-01  1.34363e+00  3.00000e+00  1.02171e-04  
4.47629e-01  -4.47629e-01  -1.00000e+00  2.47969e-04  
4.47458e-01  -4.47458e-01  -1.00000e+00  1.71325e-04  
4.47355e-01  1.34207e+00  3.00000e+00  1.02171e-04  
4.47108e-01  -4.47108e-01  -1.00000e+00  2.47976e-04  
4.46936e-01  -4.46936e-01  -1.00000e+00  1.71328e-04  
4.46834e-01  1.34050e+00  3.00000e+00  1.02171e-04  
4.46586e-01  -4.46586e-01  -1.00000e+00  2.47982e-04  
4.46415e-01  -4.46415e-01  -1.00000e+00  1.71330e-04  
4.46313e-01  1.33894e+00  3.00000e+00  1.02171e-04  
4.46065e-01  -4.46065e-01  -1.00000e+00  2.47988e-04  
4.45893e-01  -4.45893e-01  -1.00000e+00  1.71332e-04  
4.45791e-01  1.33737e+00  3.00000e+00  1.02171e-04  
4.45543e-01  -4.45543e-01  -1.00000e+00  2.47993e-04  
4.45372e-01  -4.45372e-01  -1.00000e+00  1.71334e-04  
4.45270e-01  1.33581e+00  3.00000e+00  1.02171e-04  
4.45022e-01  -4.45022e-01  -1.00000e+00  2.47999e-04  
4.44850e-01  -4.44850e-01  -1.00000e+00  1.71336e-04  
4.44748e-01  1.33424e+00  3.00000e+00  1.02171e-04  
4.44500e-01  -4.44500e-01  -1.00000e+00  2.48005e-04  
4.44329e-01  -4.44329e-01  -1.00000e+00  1.71338e-04  
4.44227e-01  1.33268e+00  3.00000e+00  1.02171e-04  
4.43979e-01  -4.43979e-01  -1.00000e+00  2.48010e-04  
4.43807e-01  -4.43807e-01  -1.00000e+00  1.71340e-04  
